m,q,branch,base_density,one_extra_gain,two_extra_gain,expected_two_extra_gain,formula_error,excess_over_twice_one_gain,positive_extra_count,extra_0_length,extra_1_length,extra_length_bound,success,status_name,mip_gap,mip_node_count,solution
65,17,larger,0.1288174512055109,3.532632694563942e-06,7.0652653890168615e-06,7.0652653890311755e-06,-1.431400977565042e-17,-1.1102230246251565e-16,2,3.5326326945155878e-06,3.5326326945155878e-06,3.5326326945155878e-06,True,optimal,0.0,1684,variable_extra_milp_m65_q17_anchor0_freebase0_extra2_solution.json
66,17,larger,0.12878787878787878,3.6801117708762376e-13,0.0,0.0,0.0,-7.360223541752475e-13,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m66_q17_anchor0_freebase0_extra2_solution.json
67,17,larger,0.12870430456413584,1.3311574065255627e-13,0.0,0.0,0.0,-2.6623148130511254e-13,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m67_q17_anchor0_freebase0_extra2_solution.json
68,17,smaller,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m68_q17_anchor0_freebase0_extra2_solution.json
68,18,larger,0.12857142857142856,6.1789421652302945e-06,1.2357884330210789e-05,1.2357884330202669e-05,8.119657832379723e-18,-2.498001805406602e-16,2,6.1789421651013346e-06,6.1789421651013346e-06,6.1789421651013346e-06,True,optimal,0.0,159,variable_extra_milp_m68_q18_anchor0_freebase0_extra2_solution.json
69,18,larger,0.12859767299448868,2.9583085582873814e-06,5.916617114992695e-06,5.9166171149983286e-06,-5.6336161321883516e-18,-1.582067810090848e-15,2,2.9583085574991643e-06,2.9583085574991643e-06,2.9583085574991643e-06,True,optimal,0.0,214,variable_extra_milp_m69_q18_anchor0_freebase0_extra2_solution.json
70,18,larger,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m70_q18_anchor0_freebase0_extra2_solution.json
71,18,larger,0.12849700945398418,1.748046152272309e-13,0.0,0.0,0.0,-3.496092304544618e-13,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m71_q18_anchor0_freebase0_extra2_solution.json
72,18,smaller,0.12837837837837837,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,optimal,0.0,1,variable_extra_milp_m72_q18_anchor0_freebase0_extra2_solution.json
72,19,larger,0.1283783783783784,5.213546880322717e-06,1.042709376042339e-05,1.0427093760427094e-05,-3.70492211129031e-18,-2.220446049250313e-16,2,5.213546880213547e-06,5.213546880213547e-06,5.213546880213547e-06,True,optimal,0.0,701,variable_extra_milp_m72_q19_anchor0_freebase0_extra2_solution.json
